username,name,chances
100981302700,BHP MART SRI NORWEE,4
101046027028,SK7708 (RESTORAN HARI HARI DATANG),0
101613700225,VINTAGE MINI MARKET,0
101662844183,SHELL LZ UNITY ENTERPRISE,2
101952990217,KEDAI MESRA PULAPOL KL,4
101965182688,RESTORAN MIRASAA 2,0
101971053397,113 FOOD COURT,0
102004474498,MUTIARA MART,2
102012153092,STERLING STATION,2
102062296898,KEDAI RUNCIT FUAD,0
102101155525,KEDAI WONG WING HING,1
102125558908,BISMI BEST MART,0
102229079732,SUNRISE MARRIOTT SDN BHD,2
102501920348,BUKIT KIARA CLUB (ANEKA VISTANA SDN BHD) (864486-W),2
102563506792,NZ NEWS & CONVENIENCE (NZ GROUP),1
102578453350,NAZHA MASTAN CORNER,0
102597477817,RESTORAN AS BIISMI MAJU,2
102798248075,SJ TRADE (PETRONAS),0
102814118650,TAI KWONG ENTERPRISE,2
102831804448,SAFIYUNO WAWASAN ENT.,0
102868541350,ACCESS FOUR TRADING,2
102888499948,RESTORAN RK NABILAA MAJU,0
102908914153,RESTORAN 118 KOPITIAM,2
102972437963,RKMW ENTERPRISE,0
103029626150,KEDAI KOPI HING HING (M) SDN BHD,0
103042336792,ZEE SUPER MART SDN BHD,0
103048692407,KEDAI RUNCIT TSR,0
103049146387,RAMZAN MINI MARKET,2
103093187200,RESTORAN NASI KANDAR SB MAJU,0
103112259337,OUR MINI MART - SANG SURIA CONDO,0
103189019813,K/R RISDA CORNER,0
103221731177,RESTORAN ASLAM MAJU,0
103247631350,RESTORAN WK TIGA TIGA,0
103272625825,ITT BUS (R&R) CAFETERIA,4
103273989247,PETRONAS LINA PETROLSERVIS,0
103345808858,PROLANDER HECTARE (MESRA),2
103350355243,KEDAI SERBANEKA B SMART,0
103419017812,NASA BISTRO,0
103427659088,RESTORAN L&H,2
103475874937,RESTORAN 828 FEI WONG,2
103483153777,KOPITIAM PJ 2218 ENTERPRISE (PANDAN MEWAH),0
103487703182,L&S FOOD CORNER,0
103494982438,MITRAMAS SDN. BHD.(THE AVENUE CLUB),2
103515456718,CALTEX HEDGES CALNERGY SDN BHD,0
103520916868,KEDAI UBAT DAN RUNCIT TAI HOE,0
103629239593,PETRON HSY SERVICE PROVIDER,0
103695717700,GOMBAKWAY (BHP),4
103704370528,HAVVA MINI MART,0
103787273803,KEDAI MAKANAN & MINUMAN SENG HENG,2
103830560648,KEDAI RUNCIT AMUHADJIR,4
103852435328,RESTORAN THAJ,0
103869754417,PETRON MRR2 ABS - FOSSIL FUELS ENTERPRISE,2
103901205928,CALTEX HIKMAT CEMPAKA SERVICE STATION,0
103906220377,HF SALES & MARKETING,2
103907132108,TAANUSHRI CITRA STORE,0
103928558938,SHELL-BILLY TANG ENTERPRISE,0
103934485898,V MART JINJANG UTARA,2
103958195428,ARIFF CONVIENENCE SHOP,0
103965035218,PASAR MINI BANGSAR,0
103980539575,WYL CONVENIENT STORE,0
104028884108,RESTORAN FATIMAH GHAOS,2
104129714032,RESTORAN WAN YEE,0
104182201412,GELIGA JAYA MART,0
104200917502,PETRONAS HISHIDA ENTERPRISE,2
104218265623,RESTORAN SHAFA MAJU,0
104220548378,AL RABBANI ENT.,0
104222831158,MY NEW STORE ENT,0
104298633647,SETAPAK MESRA ENT. (PETRONAS M),2
104325125350,TAKE & GO ENTERPRISE GROCERY,1
104337002033,PERNIAGAAN KENT KEONG,1
104400508075,V MART SETAPAK INDAH,0
104409190258,KEDAI RUNCIT ASBON BIN DAMANI,0
104453063650,CHANG CHENG 8 KOPITIAM,0
104464033438,YARIS ENTERPRISE,0
104514776200,MBH JERNIH ENTERPRISE,0
104621787793,BE HAPPY KOPITIAM,0
104637341042,PASAR MINI IZHARI,1
104676229222,NASI KANDAR KEDAH,0
104678516987,POINT CONVENIENCE  SHOP SDN. BHD.,4
104712836462,Little Sifu Bentong,0
104732973172,EAT EAT KOPITIAM,0
104750823238,SN NEWS & CONVENIENCE (NZ GROUP),0
104765470582,JR ENTERPRISE,4
104797973033,SAIPARVEEEN CASH & CARRY,1
104809418758,RESTORAN MOHAMAD MAJU,0
104842843852,KEDAI RUNCIT AGAM JAYA,0
104858871472,KEDAI RUNCIT MURAH RAYA MG,0
104918871437,PETRONAS - TENAGA CEKAP ENTERPRISE,2
104964684487,PASAR MINI ALFATEK,0
104981637850,MAZLINA AND BROTHER,0
105186560977,USAHA UJ ENTERPRISE (SHELL),0
105218669942,ANM TRADING ENTERPRISE (MESRA),4
105219587413,MINI MART MOONA PRIMA,0
105225551072,THREE HAPPINESS FOOD JUNCTION,2
105243901852,IMAN RAZHAN RESOURCES SB BHP,4
105312731527,IS GROUP TRADING,0
105315944128,V MART SHAMELIN,1
105433467200,3 TOWERS SNACKS CORNER,0
105442651450,NSK TRADE CITY,0
105481229668,PASAR RAYA HAJI GOHAR,1
105508789858,TAIMA FOODCOURT,2
105634693817,RESTORAN HAJI KAMAL,0
105647564143,RESTORAN YAT LOU FATT,0
105655378652,FADASON BOSS CAFE,0
105746415983,RESTORAN TAI TZE WAH KEE,1
105769871342,RESTAURANT HAPPY YUM CHA,0
105813569632,CHANG CHENG 8 KOPITIAM(M) SDN BHD,0
105885806588,SUASANA MART,1
105902373950,RESTORAN 88 KOPITIAM,0
105909737638,BHP Petrol JALAN KUCHAI LAMA,0
105961290622,KS SMART MART SDN.BHD,0
105985690603,ZA CERIA VENTURES (PETRONAS),0
106136756743,KEDAI KOPI & MAKANAN KIM FOO,0
106181452403,RESTORAN NASI KANDAR RASMEENA,0
106231227713,SHELL JET MELATI SDN BHD,2
106281475732,RESTORAN Q BINTANG NASI KANDAR,0
106382929942,RESTORAN ZHAN RONG 66 ENTERPRISE,0
106384775012,YAP KOPITIAM,0
106463205277,KEDAI KELUARGA RIA,0
106499200600,PASAR RAYA 101 (JALAN PETALING),4
106499662118,SUNRISE MENTOR (M) SDN BHD,0
106517662100,Shell Salak South,4
106570286153,HIKMAHJAYA Enterprise Shell,4
106589677238,ASRAA FAMILY MART,0
106597064782,BHPETROL SUNGAI TUA,0
106602605608,HAINAM CHAFFEE,1
106654326928,CALTEX(MOHON RESTU SDN BHD),4
106727774275,KEDAI RUNCIT MENTARI MULIA,2
106732856473,KENCANA LUMAYAN SDN.BHD(PETRON),4
106760117600,RESTORAN HISTANA MAJU,0
106819734563,RESTORAN BISMI 2,2
106912659275,Balkees enterprise,0
107168526292,ARNA JAYA RESOURCES (PETRONAS),2
107223163183,ZAEEM MAJU,2
107305607888,TRIPLE ENERGY RESOURCES(SHELL),2
107332942057,STAR GROCER SDN. BHD.,2
107410330525,PETRONAS MESRA - ZANRAI ENTERPRISE,2
107417746453,SHAXXON ENTERPRISE - Petron Shamelin,2
107446022027,CSS SIEW ENTERPRISE,0
107460393007,PETRON BLUE SKY EMPIRE,2
107492847142,XIN CHEN MARKET SDN BHD,0
107808370882,RESTORAN AK MAJU,0
107855739325,PETRON-TAMAN MUDA (F1),2
107897079113,AFS GROCER SDN BHD,1
107900795437,ECO RETAIL MART SDN BHD (SKY ARENA),0
108091342732,ABADI CAFETERIA SDN BHD,0
108097387225,JM SHOP,2
108355598200,DZIYA ZADA,2
108462694825,TEKUN MART SDN BHD,1
108516262975,MR DREAMS ENTERPRISE,0
108534432568,RESTORAN KUCHAI LAMA,2
108554467472,KEDAI MAKAN PENG YUE,0
108637422325,RESTORAN CHIT CHAT,0
108736730167,Z Club Snooker Dart,1
108778704862,RESTORAN SIN YU,0
108841682092,MARTLAND HORIZON SDN.BHD,1
108998037647,SHELL SBL SYNERGY PLT,0
109075089842,BANGSAR AVENUE CLUB (SMR),0
109180672183,KML SHOP,1
109247505092,PETRON-TAMAN PUTRA SERVICE STATION,0
109265268325,KEDAI RUNCIT KAMI,0
109395732073,28 MINI MART (BT 15),2
109594616773,RESTORAN TEONG,0
109601639533,RCS CLUB (SMR),0
109769784722,SHELL GOLD DROPLET ENTERPRISE,2
109779624503,L&T MINI MARKET,0
109811958317,AJUAA ENTERPRISE,4
109948375043,RABIUL AWAL ENT,0
109949312908,KEDAI RUNCIT MERDU INDAH,0
109961974477,JIYAA FRESH n' MINIMART,2
110062824097,AFR ELITE VENTURES ( SHELL ),0
110113500883,QANAAH PETRO SERVIS,0
110199865975,7 PELANGI SDN BHD (PV13),0
110251513450,YIN XIN GOLDEN RESTAURANT,0
110451174200,RESTORAN MASTIARA JAYA 168,0
110456344288,STESEN MINYAK PETRON KIARA UTARA,2
110556950075,REDKIARA SDN BHD,0
110566354825,BUKIT KALA PIT STOP,2
110567295322,SHAREZKEY ENTERPRISE,4
110630788117,PASAR MINI MULIA BARU,0
110643959275,RESTORAN ALI CORNER 2,0
110731943897,Million Ocean Enterprise,0
110779950248,RESTAURANT ARIFF MAJU BISTRO,0
110854333567,KAMPUNG KIA KOPITIAM,0
110956533623,TEN TEN MANY RESTAURANT,0
111052654037,SHELL SELECT - ZNF ENTERPRISE SDN BHD,0
111091302400,KL01-EZGO PV128(v world),1
111132314722,MAM PETRO SERVICE (PETRONAS MESRA),2
111152116483,SPM TELECOMMUNICATION (M)SDN BHD,2
111168619298,MN LAST STATION,0
111187009592,RESTORAN ISTILAH (32 MASTIARA),0
111301629533,LIAN HOE SHELL FILLING STATION,2
111303044963,SOLARIS MAJU SDN BHD,0
111323333782,ABC FOODS CORNER,0
111391291198,PETRONAS MESRA IKHWAN RESOURCES,2
111396955252,ABC BISTRO CAFE,2
111463046522,DIA SENTIASA ENTERPRISE Petronas Mesra,0
111467295917,M.IQBAL BOOK STORE,4
111495155068,PASAR MINI GDR SB,0
111549466808,PETRON MRR2 MLT-STEEL FUELS SYNERGY ENT,2
111565054358,AZZA SYNERGY,2
111588673933,S V HONG KEE RESTAURANT,0
111622218025,YZ FOOD CORNER,0
111626470453,ANANDUR IMPEX SB,2
111644426042,PASAR MINI TS MEGA,1
111702082693,REST SAFREEN,0
111814603262,REST LOW BERJAYA,0
111917244913,KEDAI RUNCIT & ALAT TULIS MSS,0
111952257902,PASARAYA BUKIT INDAH,4
112013307152,KEDAI UBAT POH KIEN,1
112013780467,SETOR SALMA,0
112079107528,KANA JAYA ENTERPRISE,0
112144927225,PETRONAS ABINA RESOURCE,4
112259092058,Z TWO H  ENTERPRISE,2
112259565892,MYU ENT (SHELL),0
112325438548,BOBY ENTERPRISE,0
112333496242,RESTORAN ALEF MAJU,0
112360041278,KEDAI UBAT YOU HUAT,2
112360515325,KEDAI JIMAT A.SUHAIMI,0
112363833682,RESTORAN 818,0
112404606067,V MART,1
112413614917,AL NASEREEN TRADING,0
112418356562,BANGSAR PETROL SUPPLY SDN BHD,2
112478109857,KEDAI UBAT PUI YUEN TONG,0
112515107948,KEDAI KOPI SHR,1
112533609275,STESEN MINYAK JUARA SDN BHD,0
112589596912,KEDAI RUNCIT JB SAMEENA,1
112611426373,CHONG WAH WIN KEONG RESTAURANT,0
112651294327,PETRONAS-KOPETRO,0
112653667642,RESTORAN LEE KING LIM,1
112705412122,JAG TRADERS (BHP),2
112755743837,KEDAI KOPI TAI KEE,0
112835062825,DINE MART,0
112851215018,PASAR MINI SHARIS,0
112872594698,K.B.KADER STORE,2
112935795367,KEDAI UBAT DAN RUNCIT N. MOHAN,4
112945300757,SHUZLAN VENTURE(SHELL SELECT),2
113037048325,FILL IN ENTERPRISE (SHELL),0
113059872157,SHELL SELECT - ZED SERVICES,0
113066054008,RESTORAN 911,2
113068907227,PETRONAS M STN GEMILANG,2
113124552193,VH MINI MARKET,1
113140249402,RESTORAN HANG TOH,0
113140725092,ALI PUTRA STORE,0
113224937975,ZAM ZAM STORE,0
113235883192,NANYANG ERA SDN BHD,2
113313942682,PETRON NOBLE VANTAGE,2
113321559682,PASAR MINI KUMERAS -BT CAVES,2
113336318348,REST PERLING,0
113357743928,PERN SEJAHTERA MEULUER,0
113411078608,WAWASAN ALAM HIJAU ENT,0
113446324475,PASAR SEGAR PINGGIRAN DUA,0
113490151297,PETRONAS M KARAK HWAY  SERVICE STATION,2
113510162008,LOUDES TRADING,0
113527791953,SOH STALL,0
113542564042,RESTORAN HAJI IMRAN,2
113543040577,THNA TRADING,0
113555907400,SIXTY THREE KOPITIAM,2
113561149648,RESTORAN MAJU ANSOOR,0
113594035600,RNS GEMILANG SDN BHD (JLN NAGASARI),1
113638367677,RESTORAN MAHBUB SDN BHD,0
113697013708,NZ NEWS STAND (NZ GROUP),1
113719904068,MAKMUR MAJU TRADING,0
113732303975,PASAR MINI KUMERAS,0
113742319778,PETRON SKKS LIM TRADING,0
113792882467,SETOR BATU CAVES,1
113811488548,MERDEKA JAYABUMI ENT - SELECT,2
113814351157,MAHA MINIMARKET,0
113818168025,JUMMA MINI MARKET,0
113853954275,RESTORAN XANG KEE,1
113923156975,KK DAGANGAN ENTERPRISE Petronas,2
113937000038,PASAR MINI AN NISA,0
114023418850,CMK MART ENTERPRISE,1
114077387537,PETRON SINARAN JASA ENT,0
114096494557,SHELL SELECT RINKO ENT,0
114131846762,REST NASI KANDAR DEEN,1
114141880142,RESTORAN YOON FOONG,0
114238414225,P.S.G ENTERPRISE SIMPANG 3,0
114298649218,METTA LLH ENTERPRISE,0
114306777377,BHP-HUAP SENG HENG SB,4
114329250850,SHELL AMENT 2 RESOURCES,2
114349335397,RELEX WORLD RESTAURANT,0
114356030638,MYKIOSK ENTERPRISE (SHELL ),2
114449784592,PETRONAS KISFAPETRO TRADEPARK,2
114472272118,RESTORAN BIDAYAH BISTRO,0
114487584038,WARITH IMAN (PETRONAS MESRA),4
114495240382,RESTORAN ABDULLAH,0
114534961775,KUMPULAN ASITA SDN BHD,2
114601019822,RESTORAN FAREED,2
114630704275,RAJAB MINI MARKET,0
114631183088,KEDAI RUNCIT ABBAS RIYAZ,0
114690563650,PASAR MINI MYHB,1
114735588193,KEDAI KOPI LIM KEE,0
114745169023,SNK EXCELLENT SERVICES S (SHELL),2
114775830367,PETRON BATU CAVES -AMARA MZ,0
114780621572,PASAR MINI NZ (NZ GROUP),0
114782058953,VOGUE CLUB KUALA LUMPUR (SMR),0
114852022372,HOI SUM KOPI TIAM,0
114871673467,OMTEK MAJU (BHP SHOP),0
114963720475,Yin & Xuan Enterprise,0
114972831298,One Two Six Kopitiam,1
114991533592,TFP RETAIL SDN BHD @ DESA PARK ARKADIA,1
115016951968,MARINI'S ON 57,2
115021748203,PETRON - CHEONG LIM FATT SS SDN BHD,2
115059641975,PASAR MINI MAWAR SEJAHTERA 2,0
115110016775,BLUE CRYSTAL TRADING,2
115127770522,SHELL TIRAM SETIA CEMERLANG ENTERPRISE,0
115137847582,REST VARIDELICIOUS,2
115140246947,REST HER CHENG,0
115145525638,ONE SHAMELIN FOOD COURT,0
115211759497,RESTORAN AL-ESFAN,0
115212719548,KNL MARKET SDN BHD (De Market-Faber Towers),0
115227600850,AK MAJU FRESH MINI MART,0
115262647712,RESTORAN SHAHMAJU,0
115342363153,MDN.SELERA DEPAN UTC,1
115347646475,STESEN PETRONAS JALAN COCHRANE,0
115436520475,DBM INTERNATIONAL SDN BHD,0
115475924222,JRM DYNAMIC ENTERPRISE,0
115493225552,NAYAKI ENTERPRISE,2
115515815350,K88 FOODCOURT SDN. BHD,1
115517737988,PETRONAS - RHU BARAKAH ENTERPRISE,4
115524467347,PASAR MINI FAA 2,2
115529754838,RESTORAN IRFAN MAJU,0
115558117082,MOHAMED RAFFI CORNER,0
115575424568,SYARIKAT SRI FAJAR,0
115590329275,VHF MART,1
115643224700,RF BOOK STORE,0
115651881467,BEN NASI LEMAK,0
115681701700,FA CAI SRI PETALING RESTAURANT,4
115900179893,BHP- ANGKASA CERMAT ENTERPRISE,0
115906438912,RESTORAN SUP AL-DEEN,2
115921364947,AIR PANAS FOOD COURT,0
115983486832,KR LANGAT ENTERPRISE,0
115984931725,KEDAI RUNCIT BATU MUDA,0
115999862813,SHELL M RICH EMPIRE RESOURCES,0
116071159963,KEDAI SERBANIKA MHB,0
116120309938,TERAS MAJU ENTERPRISE 2,0
116192126150,S.RAMAKRISHNAN ENT,0
116236962287,SIN YIK SING TRADING,0
116240819563,SHONG LYE TRADING,2
116245159075,ADIJAYA ENTERPRISE,0
116304956153,PETRON MHR SYNERGY  (ESSO),4
116323284142,PASAR MINI BM MOHAMAD,0
116372969900,PETRON LIEWS AUTO SERVICES,0
116401435453,PETRON JALAN JOHAR,0
116427974273,TAN KWEE GUAT TRADING,1
116459824850,ONE TO SIX KOPITIAM,0
116500368248,REST IMPIAN WARISAN,0
116501816357,R & W RETAILERS,0
116518711627,NEW SUPER 818 RESTAURANT,0
116533194262,Petronas PS SALAK JAYA,0
116555402717,SHELL BANDAR BARU WANGSA,4
116589202252,VISTANA CORNER,2
116614313650,PETRON NOOR HAKIM ENTERPRISE,4
116630251132,KAMAL NEWS AGENT,0
116645706700,LUCKY CLUB,2
116660197225,KOPITIAM SIANG WENG,1
116740394398,KEDAI KOPI BUKIT MERAH,2
116792585668,KEDAI RUNCIT REZKI,0
116828353087,RESTORAN KENG NAM HAI (BATU 5),0
116871377912,RESTORAN KENG NAM HAI,0
116889750475,AZHAR & SONS SDN BHD (SHELL SELECT),0
116915377777,28 MINI MART (BT 9),2
116955516743,RESTORAN NASI KANDAR DEEN,0
116969542825,PETRONAS NADI IMAN ENT (WANGSA MAJU),2
117019850173,NZ GROCERIES SDN BHD,0
117092911825,RESTORAN SRI SEGAMBUT,1
117122917252,SHELL TANJUNG KOTA ENTERPRISE,2
117138889450,KEDAI RUNCIT SHD,0
117151958422,REST ALI MAJU - JALAN RAMPAI NIAGA,0
117231355988,Al Nainas Food Corner,1
117344689325,General Goods Enterprise Sdn Bhd,1
117367459462,TRANSIT STORES SDN BHD,2
117401861092,KEDAI MAKANAN SRI SEGAMBUT,0
117413006363,MY SEVEN SEVEN RESTAURANT,0
117477465478,SHELL SELECT - XCEL TRDG,0
117482797475,RESTORAN AL-SARIFA,0
117500248493,DYLIARA ENTERPRISE - SHELL,2
117501218032,MAJU DESA MURNI ENTERPRISE,0
117515761597,BATU SEMBILAN KOPITIAM,2
117523518533,SENTUL JAYA ENTERPRISE - PETRONAS,2
117536608943,KONA NIAGA ENTERPRISE,0
117556973252,NSV RESTAURANT PLT,0
117564246647,RESTORAN TAMAN MASTIARA,0
117581218777,JELAS SEPAKAT SDN BHD (JI CLUB),0
117581703713,RESTORAN DESA PETALING,0
117612256697,KEDAI UBAT HONG NING,2
117633597643,ISNI PETRO TRADING (SHELL),0
117687928787,PETRON SYARIKAT MINYAK TPM-MOBIL MART,2
117772846312,SHELL JET GOMBAK SDN  BHD,4
117830607722,A MART SUPERSTORE SDN BHD,0
117902950798,Petron Caid Empire,0
117970944388,ALIM CURRY HOUSE,0
117988431622,STAR PLUS MART,1
118003976918,BHP IMAN RAZHAN ENTERPRISE,2
118062766825,PETRON JALAN DANG WANGI,0
118069083967,SB GLORY SDN BHD,0
118124001628,REST AMEER EHSAN 1,0
118150736083,REST MING YANG,2
118174556600,EWES ENTERPRISE -SELECT,2
118208103848,HZ AMANDA MART,0
118229498782,POINT CONVENIENCE SHOP SDN BHD,0
118241655857,RESTORAN PKS MAJU,0
118244087347,NIWAS NEWS STORE,0
118266944575,SYED ALI ENTERPRISE,0
118275212627,REST SEPETANG,1
118329691723,STESYEN MINYAK SHELL HAB,4
118377371222,AKM FOOD CORNER,0
118389049298,WARISAN FAEZAH ENTERPRISE,2
118445988167,RESTORAN MAN PUDU,0
118490283418,PERNIAGAAN WENG KEEN,0
118542864352,RESTORAN MYDINA,0
118546759700,SARZLAN VENTURE (PET. MESRA),2
118547733547,PASARMINI ALSULAIMAN,2
118555524467,KR ZURAIDAH,1
118573541950,PASAR MINI TWIN SMART,0
118595943973,SAIZA MAJU ENTERPRISE,0
118669983097,PASAR MINI JAITHOON,2
118682162797,ROYAL SELANGOR CLUB,0
118753792075,KEDAI MAKANAN HONG YEN,0
118761102400,RESTORAN ALI MAJU- UKAY PERDANA,0
118777673303,ONG BROTHER RESTAURANT,0
118788396268,PASARAYA EASA,0
118809356188,REST WENL SENH,2
118810331113,PERNIAGAAN SOON ONG SDN BHD,1
118828367947,KEDAI MAKANAN SOW MUI,1
118828855448,SAG MINI MARKET,0
118833243002,K UBAT POH KHONG,2
118844456008,KEDAI RUNCIT LOONG HING,2
118868833933,RESTORAN CHU HING,0
118936617700,PETRONAS STESEN MINYAK ASSOBIRIN,2
118937105423,YEN CHONG HONG,2
118957590692,PASAR MINI RLMV,0
118969297352,REST LEONG WEI,1
118981004588,CT GEDUNG ENTERPRISE,0
119005396513,FCO ENTERPRISE (SHELL SELECT),0
119012714578,PETRONIAGA MESRA SERVICES (PETRONAS M),2
119019544975,PETRON - AURA RAIHAN SERVICE STATION,0
119057603632,RESTORAN SATHIK BISTRO,0
119103965342,RESTORAN BUNGA EMAS,0
119111286437,MARHABAH RESTAURANT,0
119123976868,KOK NYOK LING,1
119124953083,PETRONAS BESTARI (MESRA),4
119131786700,AMPANG GROCERS,0
119146430825,HAPPY JOY RESTAURANT,0
119147407132,KEDAI UBAT DAN RUNCIT FOOK SUN,2
119155705903,PETRONAS MESRA - WARISAN JELATIK,4
119194274572,S SARAWANAN ENTERPRISE,2
119211852238,REST PANDAN JAYA,0
119212340525,SUBERI NASI KANDAR,1
119226501283,PERNIAGAAN KEN SHENG,0
119236756150,ENG HIN LOONG SDN BHD,1
119242616272,JANGGUT MINI MARKET,2
119303667772,AL ASYI MART,1
119343237487,RESTORAN ISTILAH (51 MASTIARA),0
119344214600,HF PEARL ENTERPRISE,1
119356917433,KEDAI MUSLIHA,0
119390143423,REST SOON SENG,0
119401871347,BHP-PERNIAGAAN PUNCAK SERI,0
119414088547,RESTORAN 333,0
119528960777,STESEN MINYAK YZ (PET. MESRA),2
119531894408,REST KWOK WENG,0
119544118258,RESTORAN BISMI,0
119574436103,MEHARAJ STORE,0
119594976182,PETRONAS NAZS ENTERPRISE,0
119608181450,KARINA EL WASIQ ENTERPRISE - PETRONAS,4
119636061632,PASAR MINI RUSLAIDI,0
119669815673,PASAR MINI NOORUL AALIYA,0
119687917627,DAY BY DAY TWO RESTAURANT,0
119703574475,REZA SERVICES SHELL STN,2
119704063768,DAR ENTERPRISE (SHELL SELECT),2
119726082988,FRUITIQUE POINT,0
119736848677,PERNIAGAAN FANAZ - BHP,4
119754466303,THASHINAS TRADING,0
119771106362,PERNIAGAAN MURNI (BHP SHOP),0
119805368947,MA STAR TRADING,0
119813201083,SYARIKAT DURRAH (SHELL SELECT),2
119816627723,SEVEN SEVEN RESTAURANT,0
119833761658,PERNIAGAAN SHAJAHAN,0
119834251217,WONG FILLING STATION (PETRON),0
119866564322,SHELL SELECT - AUTOLUX ENT,2
119894964283,DIWANIS ENTERPRISE-MESRA,2
119998799657,JINJANG FOOD COURT,1
120000759247,PASAR MINI FAJAR RIA,0
120001249147,PETRON AMPM SERVICE STATION,2
120040444387,BHP SYKT HUP SENG,0
120055144252,K UBAT & PERNIAGAAN WEI JIN,2
120126206287,BHP MART DAMAI ANGKASA,2
120136499773,MARZ AUTO (PETRONAS MESRA),2
120148754498,AROKIAM AND BROTHERS,0
120157088068,KEDAI KOPI YAU LOY,0
120187483537,PASAR MINI ASSAKHIYA,1
120191896102,LESTARI MINI MARKET,1
120217882850,KBC NOOR MEGA MAJU ENT.,0
120266922100,SHOP IN NEWS STAND,0
120289974002,HOLIDAY FOODS SDN BHD,2
120325782400,CHOP PHOOI HONG,0
120326272963,SYARIKAT RASRI - BHP,2
120404285200,YARSITAH ENTERPRISE,0
120419007325,REST RASIK,0
120464160787,NICE TO EAT (928),2
120471032708,PETROVISION TRADING (CALTEX),0
120484777138,DAWOOD RESTAURANT,1
120491649647,REST KIM HONG,1
120492631450,OTHUMAN NAZEEB ENTERPRISE,0
120496067792,KEDAI KOPI ZAK SEE,0
120521105477,RESTORAN S HAMEED SDN BHD,2
120533379802,PASAR MINI INTAN MEGA,0
120533870788,PASARAYA MENG FATT,2
120545163742,RESTORAN MIHOKA,0
120609494567,APS CORNER,0
120609985708,SHELL-HIK ENTERPRISE,0
120621282227,CHOP SIN HIN,2
120656648663,RESTORAN DARUSSALAM SDN BHD,0
120692511592,RESTORAN SHENG LI,0
120719535127,SENTRAL STAR SHELL,2
120730836775,KIM CHIN LEE MINI MARKET,0
120748035950,ONES MART ENTERPRISE- MESRA,0
120787352950,FORTUNE TITBIT TRADING,4
120808980028,PASAR MINI AK,0
120809963123,RESTORAN KIM SOON,2
120822252148,PETRON STESYEN MINYAK WANGSA,2
120833558603,PETRONAS SMN PETROSERVICE (MESRA),2
120848306948,KEDAI UBAT KIT SIONG,4
120868464475,PASAR MINI YONG LI,2
120904850608,PRIMA SETAPAK FOOD CORNER,2
120905342350,PETRON SARMID HOLDING,4
120910751578,RESTORAN PERASAAN SEDAP,0
120918619762,KEDAI UBAT WENG CHON,1
121530661775,KELAB GOLDEN SUN KUALA LUMPUR DAN PETALING JAYA,2
121540029193,SUKO ZUGO SDN. BHD.,2
121546438687,KEDAI MAKANAN SITHIQUE 2,1
121806905575,ICE 22 KOPITIAM,2
122005896497,SHELL ULU KELANG - FAEIZEE FALIQ,4
122027138368,RESTORAN NEW DP,0
122749471178,RESTORAN SEGAMBUT CORNER,0
122771768723,PASAR MINI SUPERIMAS,0
124401966200,WIP ON THE PARK,1
125671147667,BERSATU PERKASA ENTERPRISE,2
125992210387,PETRON UKAY PERDANA,0
126049442662,KELAB CROWN,2
126050446853,HAPPY GRAPHIC RECREATION SDN BHD,2
126050948950,JEWEL JADECORP SDN BHD,2
